file,id,note,English,Arabic
Clew/en.lproj/InfoPlist.strings,CFBundleName,Bundle name,Clew,Clew
Clew/en.lproj/InfoPlist.strings,Clew Route Document,,Clew Route Document,طريق Clew الموثوق
Clew/en.lproj/InfoPlist.strings,NSCameraUsageDescription,Privacy - Camera Usage Description,Clew needs to access your camera to track your orientation.,يحتاج Clew للوصول إلى الكاميرا لكي يتمكن من تتبع اتجاهك
Clew/en.lproj/InfoPlist.strings,NSMicrophoneUsageDescription,Privacy - Microphone Usage Description,Permission to use the microphone is required to use the voice notes feature.,يجب الحصول على إِذن المايكروفون لكي تتمكن من استخدام ميزة الملاحظات الصوتية
Clew/localizations/en.lproj/Localizable.strings, and proceed upstairs,Additional directions given to user telling them to climb stairs, and proceed upstairs,قم بصعود الدرج
Clew/localizations/en.lproj/Localizable.strings,"""%@""",No comment provided by engineer.,"""%@""",
Clew/localizations/en.lproj/Localizable.strings,%@ %@,No comment provided by engineer.,%1$@ %2$@,
Clew/localizations/en.lproj/Localizable.strings,1o'clockDirection,Version of directions given when haptic feedback function is turned off (Clock directions),Slight right towards 1 o'clock,إلى اليمين قليلاً نحو الساعة الواحدة
Clew/localizations/en.lproj/Localizable.strings,2o'clockDirection,direction to the user to turn towards the 2 o'clock direction,Slight right towards 2 o'clock,إلى اليمين قليلاً نحو الساعة الثانية
Clew/localizations/en.lproj/Localizable.strings,4o'clockDirection,direction to the user to turn towards the 4 o'clock direction,Turn towards 4 o'clock,انعَطِف نحو الساعة الرابعة
Clew/localizations/en.lproj/Localizable.strings,5o'clockDirection,direction to the user to turn towards the 5 o'clock direction,Turn around towards 5 o'clock,انعَطِف إلى الخلف نحو الساعة الخامسة
Clew/localizations/en.lproj/Localizable.strings,6o'clockDirection,direction to the user to turn towards the 6 o'clock direction,Turn around towards 6 o'clock,انعَطِف إلى الخلف نحو الساعة السادسة
Clew/localizations/en.lproj/Localizable.strings,7o'clockDirection,direction to the user to turn towards the 7 o'clock direction,Turn around towards 7 o'clock,انعَطِف إلى الخلف نحو الساعة السابعة
Clew/localizations/en.lproj/Localizable.strings,8o'clockDirection,direction to the user to turn towards the 8 o'clock direction,Turn towards 8 o'clock,انعَطِف نحو الساعة الثامنة
Clew/localizations/en.lproj/Localizable.strings,10o'clockDirection,direction to the user to turn towards the 10 o'clock direction,Slight left towards 10 o'clock,إلى اليسار قليلا نحو الساعة العاشرة
Clew/localizations/en.lproj/Localizable.strings,11o'clockDirection,direction to the user to turn towards the 11 o'clock direction,Slight left towards 11 o'clock,إلى اليسار قليلا نحو الساعة الحادية عشر
Clew/localizations/en.lproj/Localizable.strings,Clew is a versitile tool for traveling from point A to B. Below are some examples of what situations current users find Clew helpful.,No comment provided by engineer.,Clew is a versitile tool for traveling from point A to B. Below are some examples of what situations current users find Clew helpful.,
Clew/localizations/en.lproj/Localizable.strings,Clew needs to access your camera to track your orientation.,Info.plist,Clew needs to access your camera to track your orientation.,يحتاج Clew للوصول إلى الكاميرا لكي يتمكن من تتبع اتجاهك
Clew/localizations/en.lproj/Localizable.strings,ClewIntroTutorialText,Text on the first page of the tutorial that describes Clew,"Welcome to Clew! Clew helps you navigate and explore indoor spaces by using your phone's camera and inertial sensors. It acts as a 'sighted companion' that helps guide you along a route by providing audio directions and cues. Clew works best within indoor spaces, where GPS doesn't work or is unreliable.",
Clew/localizations/en.lproj/Localizable.strings,ClewIntroTutorialTitle,"Intro to Clew Tutorial Title
   Title for Clew Intro",Intro to Clew,
Clew/localizations/en.lproj/Localizable.strings,Exit,No comment provided by engineer.,Exit,
Clew/localizations/en.lproj/Localizable.strings,PausingARouteOrRecordingAAnchorPointContentParagraph1,This is a content paragraph in the Pausing a Route or Recording a Anchor Point section of the help menu which talks about why an allignment process is necessary,"The procedure for pausing the route and recording an anchor point are the same. The key idea is that in order to reuse routes, your phone must be able to align its current position with a position from the recorded route. In some cases, Apple's ARKit will be able to automatically do this alignment (for example, when the camera sees a distinctive visual feature that can be matched to the recording); however, in many situations this will not be possible.",تعتبر عملية الايقاف المؤقت للطريق وتسجيل نقطة ثابتة بمثابة الشيء نفسه. تكمن الفكرة الرئيسية بأنك عندما تود استخدام الطريق المسجل مرة أخرى، يجب عليك وضع الهاتف بنفس الطريقة التي قمت بتسجيل الطريق بها. في بعض الأحيان، سيقوم الواقع المعزز الخاص بApple بعمل هذا الأمر تلقائيا، (على سبيل المثال، عندما تلتقط الكاميرا ميزة بصرية ظاهرة، فيمكن مطابقتها مع التسجيل) وفي معظم الأوقات يكون هذا الأمر غير متاح.
Clew/localizations/en.lproj/Localizable.strings,PausingARouteOrRecordingAAnchorPointContentParagraph2,This is the second paragraph in the Pausing a Route and Recording a Anchor Point section of the help menu. This paragraph discusses the process of creating a Anchor Point including reasoning for why a Anchor Points are necessary and some tips for most effective use of the feature.,"In order to align your position in such cases you must be able to place the phone in a position and orientation such that you can reliably return the phone to that same position and orientation when reloading a saved route. While it is not crucial that you position the phone in exactly the same place (although the more accurately you can do this, the better the app will work), you must be able to place the phone in precisely the same orientation. To make it easy to return the phone to the same orientation, you should hold your phone flat with the screen facing up and press the top (short-edge) of your phone flush with a vertical surface (like a wall). More instructions are provided in the app when you activate the pause feature or the create anchor point feature.","ولكي تتمكن من عمل هذا الأمر بشكل جيد، يجب عليك وضع الهاتف باتجاه ثابت، بحيث يمكنك العودة لهذا الاتجاه عندما ترغب في إعادة تحميل الطريق المحفوظ مسبقا.
فليس من الضروري وضع الهاتف في نفس المكان بالضبط (فكلما فعلت ذلك جيدا، سيعمل التطبيق بشكل أفضل)، ويجب عليك أن تكون قادرا دوما على وضع الهاتف باتجاه ثابت.
ولتسهيل عملية إعادة الهاتف إلى نفس الاتجاه، يجب عليك وضع هاتفك بشكل ثابت، ثم وجه الشاشة لأعلى واضغط على الجزء العلوي (الزاوية القصيرة من الهاتف). سيتم عرض المزيد من المعلومات داخل التطبيق عند تفعيل ميزة الإيقاف المؤقت أو ميزة إنشاء النقطة الثابتة."
Clew/localizations/en.lproj/Localizable.strings,PausingARouteOrRecordingAAnchorPointHeader,This is a section heading in the help documentation menu,Pausing a route or recording an Anchor Point,إيقاف الطريق مؤقتاً أو تسجيل نقطة ثابتة
Clew/localizations/en.lproj/Localizable.strings,Permission to use the microphone is required to use the voice notes feature.,,Permission to use the microphone is required to use the voice notes feature.,يجب الحصول على إِذن المايكروفون لكي تتمكن من استخدام ميزة الملاحظات الصوتية
Clew/localizations/en.lproj/Localizable.strings,Reset Tutorial Progress,No comment provided by engineer.,Reset Tutorial Progress,
