file,id,note,English,Arabic
Clew/en.lproj/InfoPlist.strings,CFBundleName,Bundle name,Clew,
Clew/en.lproj/InfoPlist.strings,Clew Route Document,,Clew Route Document,
Clew/en.lproj/InfoPlist.strings,NSCameraUsageDescription,Privacy - Camera Usage Description,Clew needs to access your camera to track your orientation.,
Clew/en.lproj/InfoPlist.strings,NSMicrophoneUsageDescription,Privacy - Microphone Usage Description,Permission to use the microphone is required to use the voice notes feature.,
Clew/localizations/en.lproj/Localizable.strings, and proceed upstairs,Additional directions given to user telling them to climb stairs, and proceed upstairs,
Clew/localizations/en.lproj/Localizable.strings,"""%@""",No comment provided by engineer.,"""%@""",
Clew/localizations/en.lproj/Localizable.strings,%@ %@,No comment provided by engineer.,%1$@ %2$@,
Clew/localizations/en.lproj/Localizable.strings,1o'clockDirection,Version of directions given when haptic feedback function is turned off (Clock directions),Slight right towards 1 o'clock,Gira ligeramente a la derecha hacia la una
Clew/localizations/en.lproj/Localizable.strings,2o'clockDirection,direction to the user to turn towards the 2 o'clock direction,Slight right towards 2 o'clock,Gira ligeramente a la derecha hacia las 2
Clew/localizations/en.lproj/Localizable.strings,4o'clockDirection,direction to the user to turn towards the 4 o'clock direction,Turn towards 4 o'clock,Gira hacia las 4
Clew/localizations/en.lproj/Localizable.strings,5o'clockDirection,direction to the user to turn towards the 5 o'clock direction,Turn around towards 5 o'clock,Date la vuelta hacia las 5
Clew/localizations/en.lproj/Localizable.strings,6o'clockDirection,direction to the user to turn towards the 6 o'clock direction,Turn around towards 6 o'clock,Date la vuelta hacia las 6
Clew/localizations/en.lproj/Localizable.strings,7o'clockDirection,direction to the user to turn towards the 7 o'clock direction,Turn around towards 7 o'clock,Date la vuelta hacia las 7
Clew/localizations/en.lproj/Localizable.strings,8o'clockDirection,direction to the user to turn towards the 8 o'clock direction,Turn towards 8 o'clock,Gira hacia las 8
Clew/localizations/en.lproj/Localizable.strings,10o'clockDirection,direction to the user to turn towards the 10 o'clock direction,Slight left towards 10 o'clock,Gira ligeramente a la izquierda hacia las 10
Clew/localizations/en.lproj/Localizable.strings,11o'clockDirection,direction to the user to turn towards the 11 o'clock direction,Slight left towards 11 o'clock,Gira ligeramente a la izquierda hacia las 11
Clew/localizations/en.lproj/Localizable.strings,Clew is a versitile tool for traveling from point A to B. Below are some examples of what situations current users find Clew helpful.,No comment provided by engineer.,Clew is a versitile tool for traveling from point A to B. Below are some examples of what situations current users find Clew helpful.,
Clew/localizations/en.lproj/Localizable.strings,Clew needs to access your camera to track your orientation.,Info.plist,Clew needs to access your camera to track your orientation.,Clew necesita acceder a la cámara para seguir tu orientación.
Clew/localizations/en.lproj/Localizable.strings,ClewIntroTutorialText,Text on the first page of the tutorial that describes Clew,"Welcome to Clew! Clew helps you navigate and explore indoor spaces by using your phone's camera and inertial sensors. It acts as a 'sighted companion' that helps guide you along a route by providing audio directions and cues. Clew works best within indoor spaces, where GPS doesn't work or is unreliable.",
Clew/localizations/en.lproj/Localizable.strings,ClewIntroTutorialTitle,"Intro to Clew Tutorial Title
   Title for Clew Intro",Intro to Clew,
Clew/localizations/en.lproj/Localizable.strings,Exit,No comment provided by engineer.,Exit,
Clew/localizations/en.lproj/Localizable.strings,PausingARouteOrRecordingAAnchorPointContentParagraph1,This is a content paragraph in the Pausing a Route or Recording a Anchor Point section of the help menu which talks about why an allignment process is necessary,"The procedure for pausing the route and recording an anchor point are the same. The key idea is that in order to reuse routes, your phone must be able to align its current position with a position from the recorded route. In some cases, Apple's ARKit will be able to automatically do this alignment (for example, when the camera sees a distinctive visual feature that can be matched to the recording); however, in many situations this will not be possible.","El procedimiento para pausar la ruta y grabar un punto de anclaje es el mismo. La idea clave es que para poder reutilizar las rutas, el teléfono debe poder alinear tu posición actual con una posición de la ruta grabada. En algunos casos, el ARKit de Apple será capaz de realizar esta alineación automáticamente (por ejemplo, cuando la cámara ve una característica visual distintiva que se puede adaptar a la grabación), sin embargo, en muchas situaciones esto no será posible."
Clew/localizations/en.lproj/Localizable.strings,PausingARouteOrRecordingAAnchorPointContentParagraph2,This is the second paragraph in the Pausing a Route and Recording a Anchor Point section of the help menu. This paragraph discusses the process of creating a Anchor Point including reasoning for why a Anchor Points are necessary and some tips for most effective use of the feature.,"In order to align your position in such cases you must be able to place the phone in a position and orientation such that you can reliably return the phone to that same position and orientation when reloading a saved route. While it is not crucial that you position the phone in exactly the same place (although the more accurately you can do this, the better the app will work), you must be able to place the phone in precisely the same orientation. To make it easy to return the phone to the same orientation, you should hold your phone flat with the screen facing up and press the top (short-edge) of your phone flush with a vertical surface (like a wall). More instructions are provided in the app when you activate the pause feature or the create anchor point feature.","Para alinear tu posición en estos casos, debes poder colocar el teléfono en una posición y orientación que te permita volver a colocarlo en esa misma ubicación cuando recargues una ruta guardada. Aunque no es crucial que coloques el móvil exactamente en el mismo lugar, debes ser capaz de ubicarlo lo más fielmente posible, ya que cuanto más preciso seas al hacer esto, mejor funcionará la aplicación. Para facilitar el retorno del teléfono a la misma posición y orientación, debes grabar el punto de anclaje manteniendo el móvil plano con la pantalla hacia arriba y presionando el borde superior (el lado corto) a ras con una superficie vertical (como una pared). Se proporcionan más instrucciones en la aplicación cuando se activa la función de pausa o la función de crear un punto de anclaje."
Clew/localizations/en.lproj/Localizable.strings,PausingARouteOrRecordingAAnchorPointHeader,This is a section heading in the help documentation menu,Pausing a route or recording an Anchor Point,Detener una ruta o grabar un punto de anclaje
Clew/localizations/en.lproj/Localizable.strings,Permission to use the microphone is required to use the voice notes feature.,,Permission to use the microphone is required to use the voice notes feature.,Se requiere permiso para acceder al micrófono para usar la función de notas de voz.
Clew/localizations/en.lproj/Localizable.strings,Reset Tutorial Progress,No comment provided by engineer.,Reset Tutorial Progress,
Clew/localizations/en.lproj/Localizable.strings,Settings,Settings & Comments: Title/header of the settings menu.,Settings,Ajustes
Clew/localizations/en.lproj/Localizable.strings,What Can I Use Clew For?,No comment provided by engineer.,What Can I Use Clew For?,
Clew/localizations/en.lproj/Localizable.strings,You could use Clew to navigate between your table and the restroom in a resturant.,No comment provided by engineer.,You could use Clew to navigate between your table and the restroom in a resturant.,
Clew/localizations/en.lproj/Localizable.strings,"You could use Clew when visting a hotel, by saving a Clew route from the front door to the elevator and then save a route from the elevator to your room. Then you could use Clew to navigate those routes whenever you like.",No comment provided by engineer.,"You could use Clew when visting a hotel, by saving a Clew route from the front door to the elevator and then save a route from the elevator to your room. Then you could use Clew to navigate those routes whenever you like.",
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph1,Instruction for how to add a landmark paragraph 1,Voice notes allow you to record a landmark or leave specific information that you want to hear later when navigating in the return direction. To leave a voice note:,
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph2,Instruction for how to add a landmark paragraph 2,Tap the voice note button at any time that you are recording a route. The app will then open the voice recorder. Press the record button to leave a voice memo.,
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph3,Instruction for how to add a landmark paragraph 3,Tap the stop recording button and resume recording your route.,
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph4,Instruction for how to add a landmark paragraph 4,"When you navigate your route, Clew will play your voice note when you pass through your recorded landmark. You can record as many voice notes as you want.",
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTitle,Title for the add a landmark  section of the tutorial,Adding a Landmark - Voice Notes,
Clew/localizations/en.lproj/Localizable.strings,adjustOffsetAlertContent,this is the content of an alert which tells the user that they should consider enabling the adjust offset feature.,"While you were recording this route, the app determined that your phone's rear camera was not pointing straight ahead. When navigating the recorded route, if your phone is not pointing straight ahead, the app's directional guidance may be confusing. If it is difficult for you to keep you phone pointing straight ahead, the app can automatically adjust its guidance so that it is relative to your body rather than the phone's direction.  Would you like enable this feature?  You can always disable this feature in the settings menu under ""Correct Offset of Phone / Body.""  Important details of this feature are available in the help menu.","Mientras estabas grabando la ruta, la aplicación determinó que la cámara trasera del teléfono no apuntaba en línea recta. Al navegar por la ruta grabada, si el móvil no está apuntando en la dirección adecuada, el guiado direccional de Clew puede ser erróneo. Si te resulta difícil mantener el teléfono apuntando en línea recta, la aplicación puede ajustar automáticamente su orientación para que sea relativa a tu cuerpo y no a la dirección del móvil. ¿Deseas activar esta función? Podrás desactivarla en cualquier momento en los ajustes, en ""Corregir la compensación del teléfono / cuerpo."". Los detalles de esta función están disponibles en el menú de ayuda"
Clew/localizations/en.lproj/Localizable.strings,adjustOffsetReminderAnnouncement,This is the announcement which is spoken after starting navigation if the user has enabled the Correct Offset of Phone / Body option.,Correction for phone / body offset will be updated as you start walking.,La corrección para el desplazamiento del teléfono / cuerpo se actualizará cuando empieces a caminar
Clew/localizations/en.lproj/Localizable.strings,alignToAnchorPointButtonText,The text shown on the button that aligns to the anchor point during the tutorial,Find Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,anchorPointAlignmentText,Text describing the process of aligning to an anchorpoint. This text shows up on the alignment screen.,Please align your device with your previously recorded anchor point. To do this hold your device flat with the screen pointing up. Press the top (short) edge flush with the same vertical surface that you used to create the anchor point. Activating the align button will start an alignment countdown this is intended to give you time to make final adjustments to the positioning of your device. At the end of the countdown the alignment will be taken and the device will provide an announcement indicating that the anchor point was saved.,"Alinea el dispositivo con el punto de anclaje grabado anteriormente. Para ello, mantenlo en posición horizontal con la pantalla apuntando hacia arriba, Presionando el borde superior (el corto) a ras con la misma superficie vertical que utilizaste para crear el punto de anclaje. Tras ello, activa el botón de alineación que iniciará una cuenta atrás que te dará tiempo para ajustar la posición del dispositivo. Al final de la cuenta atrás se tomará la alineación y obtendrás un mensaje indicando que el punto de anclaje se ha guardado."
